Vardas              Pavarde             Galutinis(vid.)     
Vardas1             Pavarde1            5.28              
Vardas2             Pavarde2            7.92              
Vardas3             Pavarde3            3                 
Vardas4             Pavarde4            5.96              
Vardas5             Pavarde5            5.28              
Vardas6             Pavarde6            3.52              
Vardas7             Pavarde7            3.6               
Vardas8             Pavarde8            5.32              
Vardas9             Pavarde9            5.28              
Vardas10            Pavarde10           2.8               
Vardas11            Pavarde11           6.44              
Vardas12            Pavarde12           5.72              
Vardas13            Pavarde13           6.24              
Vardas14            Pavarde14           7.68              
Vardas15            Pavarde15           6.92              
Vardas16            Pavarde16           3                 
Vardas17            Pavarde17           2                 
Vardas18            Pavarde18           4.12              
Vardas19            Pavarde19           2.2               
Vardas20            Pavarde20           4.16              
Vardas21            Pavarde21           3.36              
Vardas22            Pavarde22           1.76              
Vardas23            Pavarde23           6.2               
Vardas24            Pavarde24           4.52              
Vardas25            Pavarde25           5.36              
Vardas26            Pavarde26           8.72              
Vardas27            Pavarde27           6.84              
Vardas28            Pavarde28           5                 
Vardas29            Pavarde29           5.32              
Vardas30            Pavarde30           5.28              
Vardas31            Pavarde31           7.4               
Vardas32            Pavarde32           4.32              
Vardas33            Pavarde33           2.6               
Vardas34            Pavarde34           2.2               
Vardas35            Pavarde35           5.56              
Vardas36            Pavarde36           8.16              
Vardas37            Pavarde37           3.16              
Vardas38            Pavarde38           2.68              
Vardas39            Pavarde39           4.72              
Vardas40            Pavarde40           7.88              
Vardas41            Pavarde41           4.72              
Vardas42            Pavarde42           7.8               
Vardas43            Pavarde43           1.68              
Vardas44            Pavarde44           2.52              
Vardas45            Pavarde45           3.28              
Vardas46            Pavarde46           5.12              
Vardas47            Pavarde47           2.96              
Vardas48            Pavarde48           7.64              
Vardas49            Pavarde49           7.68              
Vardas50            Pavarde50           2.96              
Vardas51            Pavarde51           4.36              
Vardas52            Pavarde52           5.04              
Vardas53            Pavarde53           4.56              
Vardas54            Pavarde54           2.04              
Vardas55            Pavarde55           2.32              
Vardas56            Pavarde56           5.6               
Vardas57            Pavarde57           4.44              
Vardas58            Pavarde58           6.84              
Vardas59            Pavarde59           1.92              
Vardas60            Pavarde60           4.64              
Vardas61            Pavarde61           3.2               
Vardas62            Pavarde62           4.36              
Vardas63            Pavarde63           4.16              
Vardas64            Pavarde64           1.6               
Vardas65            Pavarde65           2.8               
Vardas66            Pavarde66           5.84              
Vardas67            Pavarde67           4.56              
Vardas68            Pavarde68           1.96              
Vardas69            Pavarde69           4.28              
Vardas70            Pavarde70           3.64              
Vardas71            Pavarde71           7.36              
Vardas72            Pavarde72           3.28              
Vardas73            Pavarde73           1.52              
Vardas74            Pavarde74           4.52              
Vardas75            Pavarde75           2.36              
Vardas76            Pavarde76           8.24              
Vardas77            Pavarde77           7.48              
Vardas78            Pavarde78           6.48              
Vardas79            Pavarde79           7.08              
Vardas80            Pavarde80           7.56              
Vardas81            Pavarde81           5.72              
Vardas82            Pavarde82           4.68              
Vardas83            Pavarde83           7.76              
Vardas84            Pavarde84           7.36              
Vardas85            Pavarde85           6.24              
Vardas86            Pavarde86           5.2               
Vardas87            Pavarde87           7.68              
Vardas88            Pavarde88           5.16              
Vardas89            Pavarde89           5.64              
Vardas90            Pavarde90           3.28              
Vardas91            Pavarde91           3.16              
Vardas92            Pavarde92           8                 
Vardas93            Pavarde93           5.36              
Vardas94            Pavarde94           6.52              
Vardas95            Pavarde95           6.12              
Vardas96            Pavarde96           5.04              
Vardas97            Pavarde97           6.76              
Vardas98            Pavarde98           7.92              
Vardas99            Pavarde99           3.68              
Vardas100           Pavarde100          3.48              
Vardas101           Pavarde101          2.64              
Vardas102           Pavarde102          7.96              
Vardas103           Pavarde103          3.52              
Vardas104           Pavarde104          4.8               
Vardas105           Pavarde105          2.44              
Vardas106           Pavarde106          5.52              
Vardas107           Pavarde107          3.24              
Vardas108           Pavarde108          4.08              
Vardas109           Pavarde109          4.48              
Vardas110           Pavarde110          5.96              
Vardas111           Pavarde111          6.32              
Vardas112           Pavarde112          6.56              
Vardas113           Pavarde113          5.44              
Vardas114           Pavarde114          7.36              
Vardas115           Pavarde115          6.6               
Vardas116           Pavarde116          6.52              
Vardas117           Pavarde117          6.8               
Vardas118           Pavarde118          6.64              
Vardas119           Pavarde119          3.6               
Vardas120           Pavarde120          4.12              
Vardas121           Pavarde121          5.84              
Vardas122           Pavarde122          4.04              
Vardas123           Pavarde123          8.32              
Vardas124           Pavarde124          5.84              
Vardas125           Pavarde125          2.48              
Vardas126           Pavarde126          3.2               
Vardas127           Pavarde127          7.56              
Vardas128           Pavarde128          6.84              
Vardas129           Pavarde129          8.76              
Vardas130           Pavarde130          6.24              
Vardas131           Pavarde131          6.96              
Vardas132           Pavarde132          5.28              
Vardas133           Pavarde133          4.12              
Vardas134           Pavarde134          4.84              
Vardas135           Pavarde135          8.24              
Vardas136           Pavarde136          7.72              
Vardas137           Pavarde137          7.64              
Vardas138           Pavarde138          3.08              
Vardas139           Pavarde139          3.48              
Vardas140           Pavarde140          6.44              
Vardas141           Pavarde141          7.76              
Vardas142           Pavarde142          6.28              
Vardas143           Pavarde143          2.72              
Vardas144           Pavarde144          3.16              
Vardas145           Pavarde145          8.4               
Vardas146           Pavarde146          4.64              
Vardas147           Pavarde147          5.48              
Vardas148           Pavarde148          6.36              
Vardas149           Pavarde149          3.08              
Vardas150           Pavarde150          5.48              
Vardas151           Pavarde151          3.56              
Vardas152           Pavarde152          5.12              
Vardas153           Pavarde153          3.04              
Vardas154           Pavarde154          5.64              
Vardas155           Pavarde155          3.12              
Vardas156           Pavarde156          4.4               
Vardas157           Pavarde157          4.72              
Vardas158           Pavarde158          6.32              
Vardas159           Pavarde159          5.16              
Vardas160           Pavarde160          4.52              
Vardas161           Pavarde161          7.8               
Vardas162           Pavarde162          1.92              
Vardas163           Pavarde163          8.08              
Vardas164           Pavarde164          6.24              
Vardas165           Pavarde165          8.64              
Vardas166           Pavarde166          4.56              
Vardas167           Pavarde167          2.72              
Vardas168           Pavarde168          2                 
Vardas169           Pavarde169          4.8               
Vardas170           Pavarde170          3.28              
Vardas171           Pavarde171          5                 
Vardas172           Pavarde172          7.28              
Vardas173           Pavarde173          3.64              
Vardas174           Pavarde174          4.32              
Vardas175           Pavarde175          5.84              
Vardas176           Pavarde176          2.56              
Vardas177           Pavarde177          4.52              
Vardas178           Pavarde178          1.52              
Vardas179           Pavarde179          5.16              
Vardas180           Pavarde180          4.28              
Vardas181           Pavarde181          7.6               
Vardas182           Pavarde182          1.56              
Vardas183           Pavarde183          3.68              
Vardas184           Pavarde184          1.6               
Vardas185           Pavarde185          4.68              
Vardas186           Pavarde186          5.52              
Vardas187           Pavarde187          5.2               
Vardas188           Pavarde188          3.96              
Vardas189           Pavarde189          3.96              
Vardas190           Pavarde190          4.56              
Vardas191           Pavarde191          8.56              
Vardas192           Pavarde192          2.24              
Vardas193           Pavarde193          6.6               
Vardas194           Pavarde194          7.64              
Vardas195           Pavarde195          4.6               
Vardas196           Pavarde196          5.68              
Vardas197           Pavarde197          5.76              
Vardas198           Pavarde198          2.04              
Vardas199           Pavarde199          2.44              
Vardas200           Pavarde200          4.2               
Vardas201           Pavarde201          5.88              
Vardas202           Pavarde202          3.92              
Vardas203           Pavarde203          7.28              
Vardas204           Pavarde204          6.84              
Vardas205           Pavarde205          7.12              
Vardas206           Pavarde206          6.84              
Vardas207           Pavarde207          8.88              
Vardas208           Pavarde208          5.52              
Vardas209           Pavarde209          8.48              
Vardas210           Pavarde210          7.72              
Vardas211           Pavarde211          5.92              
Vardas212           Pavarde212          7.24              
Vardas213           Pavarde213          5.32              
Vardas214           Pavarde214          3.96              
Vardas215           Pavarde215          1.84              
Vardas216           Pavarde216          5.4               
Vardas217           Pavarde217          2.64              
Vardas218           Pavarde218          8.8               
Vardas219           Pavarde219          6.76              
Vardas220           Pavarde220          7.88              
Vardas221           Pavarde221          5.6               
Vardas222           Pavarde222          4.32              
Vardas223           Pavarde223          5.84              
Vardas224           Pavarde224          7.12              
Vardas225           Pavarde225          4.12              
Vardas226           Pavarde226          5.36              
Vardas227           Pavarde227          1.36              
Vardas228           Pavarde228          6.8               
Vardas229           Pavarde229          1.68              
Vardas230           Pavarde230          4.28              
Vardas231           Pavarde231          6.32              
Vardas232           Pavarde232          5.6               
Vardas233           Pavarde233          3.36              
Vardas234           Pavarde234          6.72              
Vardas235           Pavarde235          3.64              
Vardas236           Pavarde236          7.6               
Vardas237           Pavarde237          3.56              
Vardas238           Pavarde238          3.4               
Vardas239           Pavarde239          3.32              
Vardas240           Pavarde240          7.84              
Vardas241           Pavarde241          6.12              
Vardas242           Pavarde242          5.92              
Vardas243           Pavarde243          8.88              
Vardas244           Pavarde244          3.92              
Vardas245           Pavarde245          5.76              
Vardas246           Pavarde246          4.56              
Vardas247           Pavarde247          3.56              
Vardas248           Pavarde248          1.84              
Vardas249           Pavarde249          6.68              
Vardas250           Pavarde250          6.72              
Vardas251           Pavarde251          3.2               
Vardas252           Pavarde252          6.96              
Vardas253           Pavarde253          5.4               
Vardas254           Pavarde254          3.28              
Vardas255           Pavarde255          1.92              
Vardas256           Pavarde256          5.12              
Vardas257           Pavarde257          7.2               
Vardas258           Pavarde258          5.04              
Vardas259           Pavarde259          7.84              
Vardas260           Pavarde260          5.32              
Vardas261           Pavarde261          7.6               
Vardas262           Pavarde262          4.8               
Vardas263           Pavarde263          7.16              
Vardas264           Pavarde264          5.96              
Vardas265           Pavarde265          4.92              
Vardas266           Pavarde266          6.36              
Vardas267           Pavarde267          4.76              
Vardas268           Pavarde268          3.32              
Vardas269           Pavarde269          3.68              
Vardas270           Pavarde270          5.2               
Vardas271           Pavarde271          7.2               
Vardas272           Pavarde272          4.8               
Vardas273           Pavarde273          1.52              
Vardas274           Pavarde274          7                 
Vardas275           Pavarde275          3                 
Vardas276           Pavarde276          3.92              
Vardas277           Pavarde277          2.84              
Vardas278           Pavarde278          4.72              
Vardas279           Pavarde279          4.16              
Vardas280           Pavarde280          7.4               
Vardas281           Pavarde281          2.56              
Vardas282           Pavarde282          7.44              
Vardas283           Pavarde283          5.48              
Vardas284           Pavarde284          2.8               
Vardas285           Pavarde285          8.2               
Vardas286           Pavarde286          4.2               
Vardas287           Pavarde287          8.8               
Vardas288           Pavarde288          4.6               
Vardas289           Pavarde289          7.56              
Vardas290           Pavarde290          6.44              
Vardas291           Pavarde291          2.52              
Vardas292           Pavarde292          3.52              
Vardas293           Pavarde293          4.88              
Vardas294           Pavarde294          5.36              
Vardas295           Pavarde295          2                 
