Vardas              Pavarde             Galutinis(vid.)/  Galutinis(med.)
--------------------------------------------------------------------------
Vardas1             Pavarde1            1.8               5
Vardas2             Pavarde2            4.2               5
Vardas3             Pavarde3            3                 7
Vardas4             Pavarde4            0.6               6
Vardas5             Pavarde5            5.4               5
Vardas6             Pavarde6            1.2               5
Vardas7             Pavarde7            5.4               6
Vardas8             Pavarde8            0.6               5
Vardas9             Pavarde9            4.2               6
Vardas10            Pavarde10           2.4               3
Vardas11            Pavarde11           1.8               4
Vardas12            Pavarde12           6                 6
Vardas13            Pavarde13           4.2               3
Vardas14            Pavarde14           0.6               4
Vardas15            Pavarde15           4.8               3
Vardas16            Pavarde16           4.2               5
Vardas17            Pavarde17           4.2               5
Vardas18            Pavarde18           6                 6
Vardas19            Pavarde19           6                 6
Vardas20            Pavarde20           6                 4
Vardas21            Pavarde21           4.8               6
Vardas22            Pavarde22           4.2               6
Vardas23            Pavarde23           4.8               5
Vardas24            Pavarde24           4.2               3
Vardas25            Pavarde25           5.4               7
Vardas26            Pavarde26           2.4               5
Vardas27            Pavarde27           4.2               5
Vardas28            Pavarde28           1.8               6
Vardas29            Pavarde29           3.6               4
Vardas30            Pavarde30           4.2               6
Vardas31            Pavarde31           2.4               3
Vardas32            Pavarde32           2.4               7
Vardas33            Pavarde33           4.2               4
Vardas34            Pavarde34           3.6               3
Vardas35            Pavarde35           0.6               6
Vardas36            Pavarde36           6                 8
Vardas37            Pavarde37           1.2               5
Vardas38            Pavarde38           3                 3
Vardas39            Pavarde39           0.6               5
Vardas40            Pavarde40           0.6               4
Vardas41            Pavarde41           4.2               5
Vardas42            Pavarde42           1.8               5
Vardas43            Pavarde43           2.4               5
Vardas44            Pavarde44           3.6               7
Vardas45            Pavarde45           4.8               4
Vardas46            Pavarde46           6                 6
Vardas47            Pavarde47           4.2               5
Vardas48            Pavarde48           0.6               4
Vardas49            Pavarde49           0.6               3
Vardas50            Pavarde50           3                 4
Vardas51            Pavarde51           4.8               6
Vardas52            Pavarde52           3.6               6
Vardas53            Pavarde53           0.6               5
Vardas54            Pavarde54           3.6               5
Vardas55            Pavarde55           5.4               4
Vardas56            Pavarde56           3                 5
Vardas57            Pavarde57           3                 5
Vardas58            Pavarde58           2.4               7
Vardas59            Pavarde59           3                 4
Vardas60            Pavarde60           3.6               5
Vardas61            Pavarde61           4.8               4
Vardas62            Pavarde62           6                 5
Vardas63            Pavarde63           4.2               5
Vardas64            Pavarde64           4.2               6
Vardas65            Pavarde65           1.8               5
Vardas66            Pavarde66           3.6               5
Vardas67            Pavarde67           6                 6
Vardas68            Pavarde68           1.2               7
Vardas69            Pavarde69           5.4               7
Vardas70            Pavarde70           0.6               7
Vardas71            Pavarde71           5.4               5
Vardas72            Pavarde72           2.4               7
Vardas73            Pavarde73           6                 4
Vardas74            Pavarde74           1.2               5
Vardas75            Pavarde75           4.2               6
Vardas76            Pavarde76           4.2               5
Vardas77            Pavarde77           1.8               6
Vardas78            Pavarde78           6                 5
Vardas79            Pavarde79           3.6               2
Vardas80            Pavarde80           4.8               5
Vardas81            Pavarde81           1.2               6
Vardas82            Pavarde82           1.2               3
Vardas83            Pavarde83           1.8               7
Vardas84            Pavarde84           3                 4
Vardas85            Pavarde85           2.4               5
Vardas86            Pavarde86           2.4               8
Vardas87            Pavarde87           5.4               4
Vardas88            Pavarde88           4.2               5
Vardas89            Pavarde89           4.2               4
Vardas90            Pavarde90           5.4               6
Vardas91            Pavarde91           4.8               3
Vardas92            Pavarde92           4.8               7
Vardas93            Pavarde93           3                 6
Vardas94            Pavarde94           5.4               5
Vardas95            Pavarde95           3                 5
Vardas96            Pavarde96           2.4               4
Vardas97            Pavarde97           6                 6
Vardas98            Pavarde98           3                 5
Vardas99            Pavarde99           3.6               5
Vardas100           Pavarde100          4.8               3
Vardas101           Pavarde101          1.8               5
Vardas102           Pavarde102          2.4               8
Vardas103           Pavarde103          3.6               5
Vardas104           Pavarde104          6                 6
Vardas105           Pavarde105          2.4               3
Vardas106           Pavarde106          4.2               4
Vardas107           Pavarde107          1.2               6
Vardas108           Pavarde108          3                 6
Vardas109           Pavarde109          4.2               3
Vardas110           Pavarde110          5.4               3
Vardas111           Pavarde111          0.6               4
Vardas112           Pavarde112          5.4               7
Vardas113           Pavarde113          6                 5
Vardas114           Pavarde114          2.4               6
Vardas115           Pavarde115          4.2               8
Vardas116           Pavarde116          6                 4
Vardas117           Pavarde117          3                 6
Vardas118           Pavarde118          4.8               7
Vardas119           Pavarde119          1.2               7
Vardas120           Pavarde120          4.2               4
Vardas121           Pavarde121          0.6               7
Vardas122           Pavarde122          5.4               5
Vardas123           Pavarde123          1.2               6
Vardas124           Pavarde124          4.2               4
Vardas125           Pavarde125          1.8               5
Vardas126           Pavarde126          1.8               3
Vardas127           Pavarde127          4.8               3
Vardas128           Pavarde128          5.4               4
Vardas129           Pavarde129          2.4               4
Vardas130           Pavarde130          4.8               4
Vardas131           Pavarde131          0.6               7
Vardas132           Pavarde132          0.6               3
Vardas133           Pavarde133          4.8               3
Vardas134           Pavarde134          1.2               6
Vardas135           Pavarde135          5.4               6
Vardas136           Pavarde136          4.8               5
Vardas137           Pavarde137          4.2               5
Vardas138           Pavarde138          1.8               4
Vardas139           Pavarde139          1.8               4
Vardas140           Pavarde140          0.6               4
Vardas141           Pavarde141          1.2               4
Vardas142           Pavarde142          0.6               5
Vardas143           Pavarde143          5.4               5
Vardas144           Pavarde144          1.2               6
Vardas145           Pavarde145          3                 7
Vardas146           Pavarde146          3.6               3
Vardas147           Pavarde147          0.6               4
Vardas148           Pavarde148          3.6               4
Vardas149           Pavarde149          2.4               4
Vardas150           Pavarde150          0.6               6
Vardas151           Pavarde151          1.2               5
Vardas152           Pavarde152          1.2               7
Vardas153           Pavarde153          4.2               5
Vardas154           Pavarde154          0.6               5
Vardas155           Pavarde155          0.6               3
Vardas156           Pavarde156          2.4               7
Vardas157           Pavarde157          5.4               3
Vardas158           Pavarde158          6                 5
